FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
23416,265,1997,6,13,6/13/1997,18:30:00,3,TN,47,34,1,0,0,0.5,0,36.18,-82.63,36.18,-82.63,0.5,50,0
23706,499,1998,6,3,6/3/1998,18:15:00,3,TN,47,29,1,3,0,0.2,0,36.48,-82.02,36.43,-81.97,9.5,80,0.070711
23968,928,1994,8,21,8/21/1994,7:00:00,3,TN,47,23,1,0,0,0,0,36.17,-82.83,36.17,-82.83,1,23,0.000148
24101,680,1997,3,29,3/29/1997,0:10:00,3,TN,47,29,3,44,0,45,0,35.05,-85.32,35.05,-85.18,8,100,0.14
24102,681,1997,3,29,3/29/1997,0:30:00,3,TN,47,30,3,50,0,3.2,0,35.15,-84.9,35.15,-84.9,4,100,0
24103,118,1997,3,29,3/29/1997,1:25:00,3,TN,47,31,1,0,0,0.1,0,35,-84.48,35,-84.48,3,100,0
24114,315,1997,7,4,7/4/1997,15:50:00,3,TN,47,36,0,0,0,0.03,0,36.1,-83.55,36.12,-83.48,1,50,0.072801
24119,940,1998,4,3,4/3/1998,16:49:00,3,TN,47,8,1,0,0,0,0,36.62,-85.27,36.62,-85.17,5.5,100,0.1
24121,775,1998,4,16,4/16/1998,16:35:00,3,TN,47,24,3,4,0,10,0,36.53,-85.18,36.62,-85.08,8.6,880,0.134536
24125,154,1998,4,16,4/16/1998,22:20:00,3,TN,47,25,1,0,1,0.75,0,35.17,-85,35.27,-84.77,11.5,50,0.250799
24126,284,1998,5,7,5/7/1998,12:30:00,3,TN,47,26,1,0,0,0.38,0,35.13,-84.88,35.13,-84.78,6,100,0.1
24127,285,1998,5,7,5/7/1998,13:00:00,3,TN,47,26,1,0,0,0.18,0,35.03,-84.42,35.02,-84.15,14,100,0.270185
24407,27,1993,2,21,2/21/1993,15:35:00,3,TN,47,3,3,3,0,6,0,36.02,-84.25,36.1,-83.97,16,150,0.291204
24410,29,1993,2,21,2/21/1993,16:05:00,3,TN,47,4,3,55,1,4,0,35.83,-84.42,35.75,-84,30,100,0.427551
24425,31,1993,2,21,2/21/1993,16:20:00,3,TN,47,5,1,0,0,5,0,35.78,-84.57,35.75,-84.52,3,23,0.05831
24430,32,1993,2,21,2/21/1993,16:45:00,3,TN,47,6,3,17,0,5,0,35.43,-84.5,35.27,-84.18,19,73,0.357771
