,Unnamed: 0,FID,YR,MO,DATE,TIME,MAG,SLAT,SLON,ELAT,ELON,LEN,WID,Fatalities,Injuries,Property Loss,starting county,ending county
0,0,23025,2011,4,2011-04-09,14:35:00,0,36.2971,-82.3174,36.2934,-82.3021,0.89,50,0,0,4.0,Carter County,Carter County
1,1,23027,2011,4,2011-04-09,16:00:00,1,36.3,-82.4341,36.3,-82.4341,3.0,150,0,0,5.0,Washington County,Washington County
2,2,23028,2011,4,2011-04-09,16:08:00,1,36.3037,-82.3923,36.3099,-82.3846,0.61,100,0,0,4.0,Washington County,Washington County
3,3,23029,2011,4,2011-04-09,16:15:00,0,36.0424,-82.5568,36.0477,-82.5393,1.04,50,0,0,4.0,Unicoi County,Unicoi County
4,4,23044,2011,4,2011-04-27,19:07:00,0,36.2255,-83.057,36.2263,-83.0486,0.5,70,0,0,3.0,Greene County,Greene County
5,5,23045,2011,4,2011-04-27,19:29:00,2,36.29,-82.7,36.36,-82.57,8.8,150,0,0,6.0,Greene County,Washington County
6,6,23046,2011,4,2011-04-27,19:33:00,1,35.954,-83.286,35.97,-83.16,7.1,150,0,0,5.0,Jefferson County,Cocke County
7,7,23049,2011,4,2011-04-27,20:32:00,0,35.8202,-83.1319,35.8446,-83.101,2.4,40,0,0,4.0,Cocke County,Cocke County
8,8,23050,2011,4,2011-04-27,20:37:00,1,35.8502,-83.0225,35.8578,-83.0029,1.2,150,0,0,4.0,Cocke County,Cocke County
9,9,23052,2011,4,2011-04-27,20:47:00,0,36.0106,-82.8706,36.028,-82.835,2.3,300,0,0,4.0,Greene County,Greene County
10,10,23053,2011,4,2011-04-27,20:51:00,3,36.035,-82.808,36.15,-82.573,15.8,1500,6,33,7.0,Greene County,Washington County
11,11,23055,2011,4,2011-04-27,21:45:00,2,36.39,-81.99,36.5,-81.82,12.0,250,2,0,6.0,Johnson County,Johnson County
12,12,23058,2011,4,2011-04-27,22:40:00,3,36.106,-82.702,36.205,-82.491,13.6,1000,2,70,7.0,Greene County,Washington County
13,13,23172,2009,5,2009-05-08,18:45:00,0,36.4,-82.48,36.4,-82.48,0.1,20,0,0,,Washington County,Washington County
14,14,23236,1955,3,1955-03-05,19:00:00,2,36.47,-82.87,36.5,-82.8,4.3,300,0,6,5.0,Hawkins County,Hawkins County
15,15,23241,1955,3,1955-03-25,16:30:00,1,35.95,-83.18,0.0,0.0,2.0,300,0,0,4.0,Cocke County,
16,16,23253,1977,6,1977-06-24,16:30:00,1,36.17,-82.83,36.17,-82.77,3.8,100,0,0,4.0,Greene County,Greene County
17,17,23276,1957,4,1957-04-08,15:30:00,2,36.28,-82.58,36.32,-82.55,3.0,440,0,0,3.0,Washington County,Washington County
18,18,23287,1977,10,1977-10-01,14:35:00,1,36.58,-82.42,36.48,-82.15,16.2,77,0,10,6.0,Sullivan County,Sullivan County
19,19,23364,2002,5,2002-05-01,21:18:00,1,36.4,-82.12,36.4,-82.12,0.1,50,0,0,5.0,Carter County,Carter County
20,20,23407,1963,3,1963-03-11,21:00:00,2,36.0,-83.12,36.03,-83.02,6.2,200,1,1,5.0,Cocke County,Cocke County
21,21,23416,1997,6,1997-06-13,18:30:00,1,36.18,-82.63,36.18,-82.63,0.5,50,0,0,5.0,Washington County,Washington County
22,22,23441,1980,7,1980-07-06,13:00:00,2,36.58,-83.25,36.42,-83.22,11.5,300,0,0,5.0,Hancock County,Hancock County
23,23,23444,2004,5,2004-05-26,15:30:00,1,36.58,-82.7,36.58,-82.67,2.0,50,0,0,4.0,Hawkins County,Hawkins County
24,24,23611,1980,7,1980-07-10,12:30:00,3,36.2,-82.35,36.18,-82.32,1.9,100,0,12,5.0,Unicoi County,Unicoi County
