FID,OM,YR,MO,DY,DATE,TIME,TZ,ST,STF,STN,MAG,INJ,FAT,LOSS,CLOSS,SLAT,SLON,ELAT,ELON,LEN,WID,Shape_Leng
23236,17,1955,3,5,3/5/1955,19:00:00,3,TN,47,6,2,6,0,5,0,36.47,-82.87,36.5,-82.8,4.3,300,0.076158
23241,48,1955,3,25,3/25/1955,16:30:00,3,TN,47,9,1,0,0,4,0,35.95,-83.18,35.95,-83.18,2,300,0.000147
23276,146,1957,4,8,4/8/1957,15:30:00,3,TN,47,9,2,0,0,3,0,36.28,-82.58,36.32,-82.55,3,440,0.05
24420,36,1952,2,29,2/29/1952,17:30:00,3,TN,47,9,2,0,0,5,0,35.3,-84.67,35.45,-84.47,15.3,587,0.25
24429,122,1953,5,2,5/2/1953,2:15:00,3,TN,47,13,2,0,0,3,0,36.03,-84.07,36.03,-84.07,0.8,100,0.000147
24434,123,1953,5,2,5/2/1953,3:00:00,3,TN,47,14,4,8,4,5,0,35.52,-84.78,35.53,-84.72,4.2,33,0.060828
24528,49,1955,3,25,3/25/1955,17:30:00,3,TN,47,10,2,0,0,3,0,36.02,-84.42,36.2,-84.23,16.3,1760,0.261725
24538,130,1955,4,24,4/24/1955,3:30:00,3,TN,47,12,1,0,0,5,0,35.77,-85.22,35.82,-85.13,5.7,300,0.102956
24552,181,1955,5,12,5/12/1955,16:30:00,3,TN,47,13,1,1,0,4,0,36.22,-85.5,36.3,-85.37,9.4,300,0.152643
24564,20,1956,2,17,2/17/1956,22:00:00,3,TN,47,2,1,2,0,4,0,36.4,-84.9,36.4,-84.9,0.1,10,0.000148
24595,49,1956,2,27,2/27/1956,17:30:00,3,TN,47,4,1,0,0,3,0,36.32,-84.92,36.32,-84.92,0.1,10,0.000147
24601,64,1956,3,7,3/7/1956,8:30:00,3,TN,47,5,2,0,0,4,0,36.38,-85.38,36.43,-85.33,4.3,50,0.070711
24625,353,1956,7,13,7/13/1956,14:00:00,3,TN,47,8,1,0,0,3,0,36.15,-85.27,36.15,-85.27,0.2,10,0.000147
24706,137,1957,4,8,4/8/1957,6:00:00,3,TN,47,8,2,0,0,3,0,36.1,-85.1,36.1,-85.05,2.7,10,0.05
24765,807,1957,11,18,11/18/1957,16:30:00,3,TN,47,15,2,2,0,4,0,36.27,-84.87,36.42,-84.7,13.9,220,0.226716
25673,47,1950,3,27,3/27/1950,15:00:00,3,TN,47,3,1,0,0,3,0,35.68,-85.77,35.68,-85.77,0.2,10,0.000146
25685,22,1952,2,13,2/13/1952,21:00:00,3,TN,47,3,1,0,0,0,0,35.23,-86.82,35.23,-86.82,0.2,400,0.000145
25689,25,1952,2,13,2/13/1952,22:00:00,3,TN,47,4,3,2,0,5,0,35.22,-86.6,35.22,-86.47,7.4,350,0.13
25693,27,1952,2,13,2/13/1952,22:30:00,3,TN,47,5,4,44,3,5,0,35.2,-86.3,35.22,-86.08,12.7,100,0.220907
25698,28,1952,2,13,2/13/1952,23:00:00,3,TN,47,6,3,2,0,5,0,35.25,-85.83,35.27,-85.75,5.1,400,0.082462
25702,32,1952,2,29,2/29/1952,16:00:00,3,TN,47,7,1,166,3,4,0,35.42,-86.7,35.42,-86.7,0.1,100,0.000146
25707,33,1952,2,29,2/29/1952,16:30:00,3,TN,47,8,4,150,2,6,0,35.15,-86.58,35.15,-86.58,2,300,0.000145
25711,34,1952,2,29,2/29/1952,16:40:00,3,TN,47,10,2,0,0,4,0,35.53,-85.85,35.53,-85.85,1,400,0.000146
25720,81,1952,3,22,3/22/1952,11:15:00,3,TN,47,22,1,1,0,4,0,36.25,-85.93,36.25,-85.93,0.3,10,0.000147
25729,187,1952,6,30,6/30/1952,18:05:00,3,TN,47,23,1,0,0,3,0,36.03,-86.77,36.03,-86.77,0.3,10,0.000146
25732,10,1953,1,20,1/20/1953,17:41:00,3,TN,47,1,2,0,0,4,0,35.7,-85.85,35.7,-85.85,0.5,500,0.000146
25742,165,1953,5,14,5/14/1953,12:00:00,3,TN,47,15,1,0,0,3,0,35.08,-86.58,35.08,-86.58,0.1,10,0.000145
25784,4,1955,2,1,2/1/1955,18:00:00,3,TN,47,1,2,0,0,5,0,35.57,-86.43,35.6,-86.27,9.4,1000,0.162788
25787,5,1955,2,1,2/1/1955,23:00:00,3,TN,47,2,1,0,0,4,0,35.43,-85.72,35.43,-85.72,2,300,0.000146
25794,14,1955,3,4,3/4/1955,22:54:00,3,TN,47,3,2,4,0,5,0,36.62,-86.6,36.63,-86.52,3.8,1000,0.080623
25798,15,1955,3,5,3/5/1955,15:00:00,3,TN,47,4,1,3,0,4,0,36.25,-85.95,36.25,-85.95,0.5,100,0.000147
25803,16,1955,3,5,3/5/1955,19:00:00,3,TN,47,5,2,0,0,4,0,36,-86.17,36,-86.17,0.1,10,0.000147
25814,129,1955,4,24,4/24/1955,0:01:00,3,TN,47,11,2,0,0,5,0,36.42,-86.5,36.53,-86.35,11.5,10,0.186011
25817,183,1955,5,12,5/12/1955,17:58:00,3,TN,47,14,1,0,0,4,0,35.83,-86.38,35.83,-86.38,0.3,20,0.000146
25849,47,1956,2,27,2/27/1956,15:30:00,3,TN,47,3,3,4,0,4,0,36.47,-86.65,36.55,-86.4,15,100,0.262488
25860,124,1956,4,3,4/3/1956,19:45:00,3,TN,47,7,1,0,0,4,0,36.53,-86.45,36.53,-86.45,0.2,10,0.000147
